setting ,sigma,central_adj,gamma,static myopic with belief updating,static myopic with no belief updating,static terminal with belief updating,static terminal no belief updating,dynamically optimal,dynamically optimal not updating the belief
1,0.2,1.2,3,5.46,5.39,3.74,3.72,5.48,5.44
2,0.2,1.2,5,3.75,3.75,2.53,2.53,3.76,3.75
3,0.2,1.2,10,2.51,2.53,1.8,1.8,2.6,2.6
4,0.2,1.2,20,1.67,1.78,1.42,1.41,2.05,2.02
7,0.2,0,3,8.31,8.31,8.3,8.31,8.32,8.31
8,0.2,0,5,5.65,5.65,5.47,5.48,5.65,5.65
9,0.2,0,10,3.8,3.81,2.71,2.71,3.81,3.81
10,0.2,0,20,2.84,2.85,1.82,1.82,2.87,2.82
12,0.1,1.2,3,5.7,5.62,3.83,3.79,5.72,5.67
13,0.1,1.2,5,4.05,4.04,2.62,2.62,4.05,4.05
14,0.1,1.2,10,2.94,2.94,1.94,1.94,2.94,2.93
15,0.1,1.2,20,2.43,2.43,1.65,1.66,2.44,2.44
